Old_Name,New_Name
V12-Max,Tsfo1_LV_U12_Max
V23-Moy,Tsfo1_LV_U23_Avg
V23-Min,Tsfo1_LV_U23_Min
V23-Max,Tsfo1_LV_U23_Max
V31-Moy,Tsfo1_LV_U31_Avg
V31-Min,Tsfo1_LV_U31_Min
V31-Max,Tsfo1_LV_U31_Max
I1_1-Max,Tsfo1_LVSwbd1_Feeder1_I1_Max
I1_2-Demand,Tsfo1_LVSwbd1_Feeder2_I1_Avg
I1_3-Demand,Tsfo1_LVSwbd1_Feeder3_I1_Avg
I1_4-Demand,Tsfo1_LVSwbd1_Feeder4_I1_Avg
I1_5-Demand,Tsfo1_LVSwbd1_Feeder5_I1_Avg
I1_6-Demand,Tsfo1_LVSwbd1_Feeder6_I1_Avg
I1_7-Demand,Tsfo1_LVSwbd1_Feeder7_I1_Avg
I1_8-Demand,Tsfo1_LVSwbd1_Feeder8_I1_Avg
I1_9-Demand,Tsfo1_LV_I1_Avg
I1_10-Demand,Tsfo1_LVSwbd1_Feeder10_I1_Avg
I1_11-Demand,Tsfo1_LVSwbd1_Feeder11_I1_Avg
I1_12-Demand,Tsfo1_LVSwbd1_Feeder12_I1_Avg
I1_13-Demand,Tsfo1_LVSwbd1_Feeder13_I1_Avg
I1_2-Max,Tsfo1_LVSwbd1_Feeder2_I1_Max
I1_3-Max,Tsfo1_LVSwbd1_Feeder3_I1_Max
I1_4-Max,Tsfo1_LVSwbd1_Feeder4_I1_Max
I1_5-Max,Tsfo1_LVSwbd1_Feeder5_I1_Max
I1_6-Max,Tsfo1_LVSwbd1_Feeder6_I1_Max
I1_7-Max,Tsfo1_LVSwbd1_Feeder7_I1_Max
I1_8-Max,Tsfo1_LVSwbd1_Feeder8_I1_Max
I1_9-Max,Tsfo1_LV_I1_Max
I1_10-Max,Tsfo1_LVSwbd1_Feeder10_I1_Max
I1_11-Max,Tsfo1_LVSwbd1_Feeder11_I1_Max
I1_12-Max,Tsfo1_LVSwbd1_Feeder12_I1_Max
I1_13-Max,Tsfo1_LVSwbd1_Feeder13_I1_Max
I2_1-Demand,Tsfo1_LVSwbd1_Feeder1_I2_Avg
I2_2-Demand,Tsfo1_LVSwbd1_Feeder2_I2_Avg
I2_3-Demand,Tsfo1_LVSwbd1_Feeder3_I2_Avg
I2_4-Demand,Tsfo1_LVSwbd1_Feeder4_I2_Avg
I2_5-Demand,Tsfo1_LVSwbd1_Feeder5_I2_Avg
I2_6-Demand,Tsfo1_LVSwbd1_Feeder6_I2_Avg
I2_7-Demand,Tsfo1_LVSwbd1_Feeder7_I2_Avg
I2_8-Demand,Tsfo1_LVSwbd1_Feeder8_I2_Avg
I2_9-Demand,Tsfo1_LV_I2_Avg
I2_10-Demand,Tsfo1_LVSwbd1_Feeder10_I2_Avg
I2_11-Demand,Tsfo1_LVSwbd1_Feeder11_I2_Avg
I2_12-Demand,Tsfo1_LVSwbd1_Feeder12_I2_Avg
I2_1-Max,Tsfo1_LVSwbd1_Feeder1_I2_Max
I2_2-Max,Tsfo1_LVSwbd1_Feeder2_I2_Max
I2_3-Max,Tsfo1_LVSwbd1_Feeder3_I2_Max
I2_4-Max,Tsfo1_LVSwbd1_Feeder4_I2_Max
I2_5-Max,Tsfo1_LVSwbd1_Feeder5_I2_Max
I2_6-Max,Tsfo1_LVSwbd1_Feeder6_I2_Max
I2_7-Max,Tsfo1_LVSwbd1_Feeder7_I2_Max
I2_8-Max,Tsfo1_LVSwbd1_Feeder8_I2_Max
I2_9-Max,Tsfo1_LV_I2_Max
I2_10-Max,Tsfo1_LVSwbd1_Feeder10_I2_Max
I2_11-Max,Tsfo1_LVSwbd1_Feeder11_I2_Max
I2_12-Max,Tsfo1_LVSwbd1_Feeder12_I2_Max
I3_1-Demand,Tsfo1_LVSwbd1_Feeder1_I3_Avg
I3_2-Demand,Tsfo1_LVSwbd1_Feeder2_I3_Avg
I3_3-Demand,Tsfo1_LVSwbd1_Feeder3_I3_Avg
I3_4-Demand,Tsfo1_LVSwbd1_Feeder4_I3_Avg
I3_5-Demand,Tsfo1_LVSwbd1_Feeder5_I3_Avg
I3_6-Demand,Tsfo1_LVSwbd1_Feeder6_I3_Avg
I3_7-Demand,Tsfo1_LVSwbd1_Feeder7_I3_Avg
I3_8-Demand,Tsfo1_LVSwbd1_Feeder8_I3_Avg
I3_9-Demand,Tsfo1_LV_I3_Avg
I3_10-Demand,Tsfo1_LVSwbd1_Feeder10_I3_Avg
I3_11-Demand,Tsfo1_LVSwbd1_Feeder11_I3_Avg
I3_1-Max,Tsfo1_LVSwbd1_Feeder1_I3_Max
I3_2-Max,Tsfo1_LVSwbd1_Feeder2_I3_Max
I3_3-Max,Tsfo1_LVSwbd1_Feeder3_I3_Max
I3_4-Max,Tsfo1_LVSwbd1_Feeder4_I3_Max
I3_5-Max,Tsfo1_LVSwbd1_Feeder5_I3_Max
I3_6-Max,Tsfo1_LVSwbd1_Feeder6_I3_Max
I3_7-Max,Tsfo1_LVSwbd1_Feeder7_I3_Max
I3_8-Max,Tsfo1_LVSwbd1_Feeder8_I3_Max
I3_9-Max,Tsfo1_LV_I3_Max
I3_10-Max,Tsfo1_LVSwbd1_Feeder10_I3_Max
I3_11-Max,Tsfo1_LVSwbd1_Feeder11_I3_Max
1-TOT_DEMAND-W,Tsfo1_LVSwbd1_Feeder1_P_Avg
2-TOT_DEMAND-W,Tsfo1_LVSwbd1_Feeder2_P_Avg
3-TOT_DEMAND-W,Tsfo1_LVSwbd1_Feeder3_P_Avg
4-TOT_DEMAND-W,Tsfo1_LVSwbd1_Feeder4_P_Avg
5-TOT_DEMAND-W,Tsfo1_LVSwbd1_Feeder5_P_Avg
6-TOT_DEMAND-W,Tsfo1_LVSwbd1_Feeder6_P_Avg
7-TOT_DEMAND-W,Tsfo1_LVSwbd1_Feeder7_P_Avg
8-TOT_DEMAND-W,Tsfo1_LVSwbd1_Feeder8_P_Avg
9-TOT_DEMAND-W,Tsfo1_LV_P_Avg
1-TOT_MAX_DEMAND-W,Tsfo1_LVSwbd1_Feeder1_P_Max
2-TOT_MAX_DEMAND-W,Tsfo1_LVSwbd1_Feeder2_P_Max
3-TOT_MAX_DEMAND-W,Tsfo1_LVSwbd1_Feeder3_P_Max
4-TOT_MAX_DEMAND-W,Tsfo1_LVSwbd1_Feeder4_P_Max
5-TOT_MAX_DEMAND-W,Tsfo1_LVSwbd1_Feeder5_P_Max
6-TOT_MAX_DEMAND-W,Tsfo1_LVSwbd1_Feeder6_P_Max
7-TOT_MAX_DEMAND-W,Tsfo1_LVSwbd1_Feeder7_P_Max
8-TOT_MAX_DEMAND-W,Tsfo1_LVSwbd1_Feeder8_P_Max
9-TOT_MAX_DEMAND-W,Tsfo1_LV_P_Max
ECLAIRAGE,Lighting
Temp-Max,Box_Temp_Max
Reset_Fum‚e,Reset_Smokes
TempPrimTfoPh2,Tsfo1_HV_Temp2
TempPrimTfoPh3,Tsfo1_HV_Temp3
TempSecTfoPh1,Tsfo1_LV_Temp1
TempSecTfoPh2,Tsfo1_LV_Temp2
TempSecTfoPh3,Tsfo1_LV_Temp3
TempSecTfoN,Tsfo1_LV_Temp4
TempPrimTfoPh1,Tsfo1_HV_Temp1
HmdCell1,Cell1_Hmd
TempCell1,Cell1_Temp
TempSurfTfo1,Tsfo1_OilTemp
TempPrimTfo2Ph2,Tsfo2_HV_Temp2
TempPrimTfo2Ph3,Tsfo2_HV_Temp3
TempSecTfo2Ph1,Tsfo2_LV_Temp1
TempSecTfo2Ph2,Tsfo2_LV_Temp2
TempSecTfo2Ph3,Tsfo2_LV_Temp3
TempSecTfo2N,Tsfo2_LV_Temp4
TempSurfTfo2,Tsfo2_OilTemp
TempCell1Ph1,Cell1_Temp1
TempCell1Ph2,Cell1_Temp2
TempCell1Ph3,Cell1_Temp3
TempCell2Ph1,Cell2_Temp1
TempCell2Ph2,Cell2_Temp2
TempCell2Ph3,Cell2_Temp3
TempCell3Ph1,Cell3_Temp1
TempCell3Ph2,Cell3_Temp2
TempCell3Ph3,Cell3_Temp3
TempCell4Ph1,Cell4_Temp1
TempCell4Ph2,Cell4_Temp2
TempCell4Ph3,Cell4_Temp3
TempCell5Ph1,Cell5_Temp1
TempCell5Ph2,Cell5_Temp2
TempCell5Ph3,Cell5_Temp3
TempCell6Ph1,Cell6_Temp1
TempCell6Ph2,Cell6_Temp2
TempCell6Ph3,Cell6_Temp3
TempCell7Ph1,Cell7_Temp1
TempCell7Ph2,Cell7_Temp2
TempCell7Ph3,Cell7_Temp3
TempCell8Ph1,Cell8_Temp1
TempCell8Ph2,Cell8_Temp2
TempCell8Ph3,Cell8_Temp3
TempCell9Ph1,Cell9_Temp1
TempCell9Ph2,Cell9_Temp2
TempCell9Ph3,Cell9_Temp3
TempCell10Ph1,Cell10_Temp1
TempCell10Ph2,Cell10_Temp2
TempCell10Ph3,Cell10_Temp3
TempCell11Ph1,Cell11_Temp1
TempCell11Ph2,Cell11_Temp2
TempCell11Ph3,Cell11_Temp3
TempCell12Ph1,Cell12_Temp1
TempCell12Ph2,Cell12_Temp2
TempCell12Ph3,Cell12_Temp3
TempCell13Ph1,Cell13_Temp1
TempCell13Ph2,Cell13_Temp2
TempCell13Ph3,Cell13_Temp3
TempCell14Ph1,Cell14_Temp1
TempCell14Ph2,Cell14_Temp2
TempCell14Ph3,Cell14_Temp3
HmdCell2,Cell2_Hmd
HmdCell3,Cell3_Hmd
HmdCell4,Cell4_Hmd
HmdCell5,Cell5_Hmd
HmdCell6,Cell6_Hmd
HmdTBT1,Tsfo1_LVSwbd1_Hmd
HmdTBT2,Tsfo2_LVSwbd1_Hmd
TempCell2,Cell2_Temp
TempCell3,Cell3_Temp
TempCell4,Cell4_Temp
TempCell5,Cell5_Temp
TempCell6,Cell6_Temp
TempTBT1,Tsfo1_LVSwbd1_Temp
TempTBT2,Tsfo2_LVSwbd1_Temp
Temp-Moy,Box_Temp_Avg
Temp-Min,Box_Temp_Min
Consigne_Seuil_Courant_Min,I_UNB_Min_SetPoint
Consigne_Seuil1_Hum_Poste,Substation_Hmd_SetPoint1
Consigne_Seuil2_Hum_Poste,Substation_Hmd_SetPoint2
Consigne_Seuil1_PointChaud,Cell_Temp_SetPoint1
Consigne_Seuil2_PointChaud,Cell_Temp_SetPoint2
Consigne_Seuil1_Temp_Poste,Substation_Temp_SetPoint1
Consigne_Seuil2_Temp_Poste,Substation_Temp_SetPoint2
Consigne_I_Max_120,I_Max120_SetPoint
Consigne_I_Min,I_Min_SetPoint
Consigne_Seuil1_Hum_Cell_TBT,LVSwbd_Hmd_SetPoint1
Consigne_Seuil2_Hum_Cell_TBT,LVSwbd_Hmd_SetPoint2
Taux_De_Charge,Tsfo1_LR
Entree_Absence_Tension,Entree_Absence_Tension
